molecule_chembl_id;canonical_smiles;standard_value;clase;Molecule;num_atoms;heavy_atoms;molecular_weight;log_p
CHEMBL5197212;Cc1cc2nc(NC(=O)OC(C)C)[nH]c2cc1C;5080.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9383060>;35;18;247.132076784;3.1366400000000008
CHEMBL425414;CCN[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21;5100.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9383140>;55;28;385.1889229640007;3.3450000000000015
CHEMBL4853727;COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1OCCCC(=O)NO;5200.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9383220>;57;30;417.1787522040007;3.5558000000000014
CHEMBL3329919;COc1cccc(NC(=O)N2CCC(c3nc(-c4ccc(Cl)cc4)no3)CC2)c1;5300.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9383300>;50;29;412.13021821200056;4.810100000000005
CHEMBL3600388;O=C1c2cc(Cl)ccc2OC2c3[nH]c4ccc(O)cc4c3CCN12;5300.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93833e0>;37;24;340.0614699560004;3.6164000000000014
CHEMBL50607;CN1CCN(C(Cc2nc(O)c3cc(Cl)ccc3n2)c2ccccc2)CC1;5300.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93834c0>;50;27;382.15603903600066;3.5200000000000022
CHEMBL5171386;CCCCc1ccc2nc(NC(=O)OCCC)[nH]c2c1;5340.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93835a0>;41;20;275.16337691200056;3.8640000000000017
CHEMBL2369023;C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OCC(F)(F)C(F)(F)C(F)(F)F;5400.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9383680>;70;36;541.224933248001;8.569600000000003
CHEMBL46947;Oc1nc(/C=C/c2ccccc2)nc2ccc(F)cc12;5400.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9383760>;31;20;266.0855411920003;3.6449000000000016
CHEMBL3629556;COc1ccc(/C=C/C(=O)/C=C/c2ccc(OCc3cn(CCN4C(=O)C(=O)c5ccccc54)nn3)c(OC)c2)cc1;5410.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9383840>;70;42;564.2008846160008;4.399500000000003
CHEMBL2115069;C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@H]1CSC([C@@H]2C[C@@H]2C)=N1)OC;5500.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9383920>;61;26;373.243935740001;6.366500000000007
