molecule_chembl_id;canonical_smiles;standard_value;clase
CHEMBL4444616;COc1cc(C(=O)c2cn(-c3cccc(N)c3)cc2-c2ccccc2F)cc(OC)c1OC;500.0;intermediate
CHEMBL3545252;CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O;500.0;intermediate
CHEMBL238102;COc1ccc(S(=O)(=O)Oc2c3ccccc3cc3sccc23)cc1;510.0;intermediate
CHEMBL4577436;COc1cc(C(=O)c2cn(-c3ccccc3)cc2-c2c(F)cc(F)cc2F)cc(OC)c1OC;510.0;intermediate
CHEMBL4549567;COc1cc(C(=O)c2cn(-c3ccc(F)cc3)cc2-c2ccccc2Cl)cc(OC)c1OC;510.0;intermediate
CHEMBL4866397;COc1cc(C(=O)c2cn(-c3cccc(C)c3)cc2-c2ccsc2)cc(OC)c1OC;520.0;intermediate
CHEMBL4450761;COc1cc(C(=O)c2cn(-c3ccc(N)cc3)cc2-c2ccccc2[N+](=O)[O-])cc(OC)c1OC;520.0;intermediate
CHEMBL4471770;COc1ccccc1-c1cn(-c2ccccc2)cc1C(=O)c1cc(OC)c(OC)c(OC)c1;550.0;intermediate
CHEMBL4875751;COc1cc(C(=O)c2cn(-c3ccc(F)cc3)cc2-c2ccsc2)cc(OC)c1OC;550.0;intermediate
CHEMBL49847;COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](OC(=O)c1ccncc1)CC2;560.0;intermediate
CHEMBL392633;COc1ccc(S(=O)(=O)Oc2c3ccccc3cc3ccccc23)cc1;560.0;intermediate
CHEMBL4862699;COc1cc(C(=O)c2cn(-c3cccc(C)c3)cc2-c2ccco2)cc(OC)c1OC;560.0;intermediate
CHEMBL4867095;COc1cc(C(=O)c2cn(-c3ccc(F)cc3)cc2-c2cccnc2)cc(OC)c1OC;560.0;intermediate
CHEMBL4854386;COc1cc(C(=O)c2cn(-c3ccc(C)cc3)cc2-c2nccs2)cc(OC)c1OC;560.0;intermediate
CHEMBL4280053;COc1cc(Sc2c[nH]c3c(-c4cccs4)cccc23)cc(OC)c1OC;570.0;intermediate
CHEMBL4854987;COc1cc(C(=O)c2cn(-c3ccc(F)cc3)cc2-c2ccncc2)cc(OC)c1OC;580.0;intermediate
CHEMBL5188659;C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc(OC)c(O)c1NC(=O)CO;580.0;intermediate
CHEMBL4278554;COc1cc(Sc2c[nH]c3cc(-c4ccsc4)ccc23)cc(OC)c1OC;580.0;intermediate
CHEMBL4452086;COc1cc(C(=O)c2cn(-c3ccc(N)cc3)cc2-c2ccccc2F)cc(OC)c1OC;590.0;intermediate
CHEMBL4282273;COc1cc(Sc2c[nH]c3cc(-c4ccco4)ccc23)cc(OC)c1OC;590.0;intermediate
CHEMBL4856000;COc1cc(C(=O)c2cn(-c3cccc(C)c3)cc2-c2ccncc2)cc(OC)c1OC;590.0;intermediate
CHEMBL218429;COc1ccc(/C=C(\F)C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O;600.0;intermediate
CHEMBL99988;COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)cc1N;600.0;intermediate
CHEMBL3263403;COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)/C=C/c1ccc(F)cc1;600.0;intermediate
CHEMBL390328;CC(=O)O[C@@]12COC1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)C(O)C(NC(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)NCC(=O)O)C(C)C)c4ccccc4)C[C@@](O)([C@@H](OCc4ccccc4)C21)C3(C)C;600.0;intermediate
CHEMBL368670;COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](OC(C)=O)CC2;600.0;intermediate
CHEMBL4289894;COc1cc(C(=O)c2c[nH]c3cc(-c4ccsc4)ccc23)cc(OC)c1OC;600.0;intermediate
CHEMBL4283098;COc1cc(C(=O)c2c[nH]c3cc(-c4ccoc4)ccc23)cc(OC)c1OC;610.0;intermediate
CHEMBL4528049;COc1cc(C(=O)c2cn(-c3ccc(C)cc3)cc2-c2ccccc2[N+](=O)[O-])cc(OC)c1OC;610.0;intermediate
CHEMBL4464133;COc1cc(C(=O)c2cn(-c3cccc(N)c3)cc2-c2ccccc2Cl)cc(OC)c1OC;630.0;intermediate
CHEMBL4519773;COc1cc(C(=O)c2cn(-c3ccccc3)cc2-c2ccccc2Cl)cc(OC)c1OC;630.0;intermediate
CHEMBL2369027;C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OCOC;640.0;intermediate
CHEMBL4858659;COc1cc(C(=O)c2cn(-c3ccc(C)cc3)cc2-c2cccnc2)cc(OC)c1OC;640.0;intermediate
CHEMBL426514;COc1cccc(-c2cc(N)c(C(=O)c3cc(OC)c(OC)c(OC)c3)s2)c1;640.0;intermediate
CHEMBL4282021;COc1cc(Sc2c[nH]c3c(-c4ccco4)cccc23)cc(OC)c1OC;640.0;intermediate
